Predicted_Video_ID,BestAnswer_start,BestAnswer_end,Related_Video_IDs
105,600,643,205
105,600,643,205 405
201,137,181,302 104
201,483,537,104
302,357,420,201
302,357,420,201 104
302,420,481,
302,357,420,
104,136,196,201
104,196,255,201
201,75,137,
201,244,301,104
201,181,240,301
201,483,537,104
104,780,841,201
201,782,841,301
201,782,841,104 301
201,782,841,304 401
201,721,782,502
201,841,878,304
202,1,76,405 305
202,1,76,404 305
202,1,76,404
202,76,137,
203,0,75,202 403
202,76,137,404
202,137,196,405 205
202,137,196,404
202,363,422,
202,363,422,404
202,422,480,301 204
202,480,540,404
202,541,601,101
202,664,718,101 105 102
202,664,718,103 204
202,782,841,404
203,0,75,
203,120,181,403
203,120,181,403
203,182,237,504 104
203,601,664,302 201
203,481,540,
203,302,356,
203,542,601,
203,542,601,
203,542,601,
203,542,601,
203,542,601,
203,481,540,
203,481,540,
203,481,540,103
203,542,601,
203,601,664,205 202
204,136,195,404
204,197,257,
204,197,257,
204,197,257,202
204,299,361,
204,299,361,404
204,361,420,404
204,361,420,401 301
204,299,361,202
204,299,361,202
204,361,420,401
204,483,540,105 302
204,540,596,503
204,197,257,
204,540,596,
204,662,721,202
204,662,721,202
204,721,783,
204,842,898,102
204,898,962,403 503
204,721,783,
504,317,376,204 302
204,962,1020,504 305 102
202,363,422,405 304
204,1081,1141,404 305 504
204,1081,1141,504 404
204,1081,1141,103 102
204,1081,1141,405 202
204,1201,1264,205
204,1201,1264,504
204,1323,1383,103
204,1323,1383,205 405
105,600,643,103 205 405
205,0,76,105 405
205,420,477,105
205,135,197,105
205,241,300,405 305
205,76,135,105 405
305,1141,1202,205 102 204
205,76,135,105 305
105,600,643,205
205,902,961,202
205,477,542,103
205,780,841,
205,902,961,
205,902,961,405
205,902,961,204
204,662,721,205 504 404
205,962,1039,101 404
205,962,1039,404
105,600,643,205 405
502,196,255,403 301 305
301,0,76,
301,76,135,501 305
301,359,421,401
301,76,135,305
401,543,600,301
301,196,256,401
301,76,135,305
301,196,256,201
301,359,421,401
301,359,421,401
301,256,316,502
301,316,359,
301,718,782,401
301,256,316,
301,359,421,401
301,359,421,401
301,421,480,
301,542,602,204
301,542,602,
301,602,661,
301,661,718,401 201
303,362,420,301
301,902,962,203 303
301,256,316,205 104
301,962,1002,401
301,359,421,404
301,359,421,401
305,896,961,401 301
104,961,1020,
504,1260,1320,305 502
305,1020,1081,303 104
401,420,478,301
401,195,239,501 502
401,195,239,205 105 504
502,542,597,401 205 504
303,362,420,302
302,1,76,303 201 301
303,362,420,302 301
302,420,481,
302,420,481,
302,357,420,
302,357,420,
302,357,420,
201,841,878,302 304
302,662,721,202 504 205
303,300,362,402
103,717,783,203 303
303,300,362,402
303,135,196,402
303,135,196,
303,362,420,402
303,476,542,201 104
104,136,196,303 201
303,542,601,
303,300,362,
402,420,482,303
303,718,780,104 401 501
303,842,902,402
303,902,963,402
303,842,902,
303,842,902,402
402,420,482,303
304,76,136,
304,76,136,
304,196,257,
304,136,195,
304,76,136,
304,196,257,
304,376,420,
304,376,420,
304,542,601,
304,376,420,
304,963,1022,201
304,901,962,101
304,901,962,101
304,963,1022,201
304,963,1022,101 502
304,963,1022,101 301
304,1258,1322,201
304,1258,1322,101
304,1201,1258,101
305,0,75,204
305,197,257,405
305,197,257,405
305,301,361,205 301 401
305,361,422,203 301
301,76,135,305
305,485,540,203 105
404,842,897,305
305,540,596,105
405,662,720,204 205 305
305,661,720,401 404
504,843,900,305 401
401,543,600,301 305
305,842,896,401
301,718,782,302
404,1140,1202,305
301,718,782,305
305,896,961,102
305,961,1020,403 301
305,1020,1081,301 401
305,1202,1250,104 205
305,1202,1250,101 205
305,1202,1250,205 405
401,543,600,204 205
401,1,75,305
401,75,136,301
401,75,136,301
401,75,136,
305,197,257,401 203
204,721,783,401 203
401,195,239,501
105,600,643,
401,1,75,305
301,718,782,401
401,361,420,301
401,543,600,
305,842,896,401
401,543,600,301
401,543,600,
401,543,600,405 204 301
401,420,478,301 204 103
401,543,600,301
401,716,782,301
303,362,420,401 302 301
401,840,901,201 301
301,196,256,401
401,962,1020,202
401,1020,1081,404
504,541,601,401
504,437,479,301 401 305
303,135,196,402
402,420,482,303 501
402,301,358,303 504
402,301,358,
402,301,358,104
402,301,358,303 504
402,359,420,303
402,359,420,303
402,420,482,303
402,420,482,303
402,301,358,
303,362,420,402
402,483,538,303
204,962,1020,401 402
402,602,664,204
402,602,664,
402,664,721,103 202
402,664,721,502
402,721,782,103
402,782,815,504
402,782,815,201 303
403,59,117,101 103
403,117,177,502
403,117,177,502
403,117,177,503
403,177,240,302
403,117,177,502
403,117,177,
102,480,542,403
403,362,446,203 502 104
403,177,240,101
102,0,75,403
102,0,75,403
502,1142,1201,403 202
404,139,196,204
404,139,196,504 204
404,139,196,103 301
404,139,196,204
404,196,256,101 305
404,196,256,202 504
404,256,299,301 501
404,300,361,202
404,361,422,103 204
404,361,422,204 502
404,361,422,502
404,361,422,202
404,541,596,305 205
404,541,596,205
404,721,781,402 204 305
405,135,180,202 101 404
404,781,840,104
404,481,541,305
404,960,1020,405
404,1020,1080,
404,1020,1080,
204,361,420,404
404,1202,1260,204
405,75,135,
405,720,811,404 502
405,135,180,205 503
405,75,135,103 503
101,602,664,405
405,135,180,202 404
205,780,841,502 405
205,780,841,502 405
404,1260,1331,405 205
405,240,300,504 103
405,240,300,103 504
204,197,257,405 302 202
405,422,480,204
405,537,601,205 202 204
405,662,720,205 504
402,301,358,501 302 404
501,76,135,303
501,136,179,201
501,136,179,
501,179,241,105
401,195,239,501 301
501,179,241,401 305
501,0,76,
501,356,420,
501,356,420,
204,1323,1383,501 405 105
501,356,420,
501,482,537,504 402
101,301,362,501
501,356,420,
501,356,420,504 102
501,179,241,
501,356,420,504 102
204,1383,1415,405 504
501,662,752,305 301
501,662,752,504 502 403
504,1438,1500,401 302 102
502,1,76,205 504 503
502,76,137,
502,542,597,
502,76,137,
502,196,255,
502,196,255,
502,300,362,403 205
502,362,421,
502,300,362,
502,542,597,
502,542,597,
502,76,137,
502,542,597,
502,720,781,105
105,600,643,502
502,1021,1082,105
502,962,1021,504
502,962,1021,504 503
504,376,437,301 101 401
502,1021,1082,201
305,540,596,202 404
502,1082,1142,
502,1201,1261,
503,4,77,
503,77,135,
503,420,481,
503,77,135,
503,135,180,
503,180,241,204
503,420,481,
503,180,241,
503,180,241,
503,721,782,
503,180,241,
503,420,481,
503,420,481,
503,420,481,
503,420,481,
503,420,481,
503,420,481,
503,135,180,
503,721,782,
503,721,782,
503,4,77,205 305
503,4,77,
504,0,75,
504,0,75,
504,137,195,
504,75,136,
504,75,136,303 401
504,137,195,303 301
504,137,195,301
504,195,255,405
504,195,255,405
504,257,317,
504,317,376,
101,138,195,
303,135,196,504 405
504,661,720,
504,782,843,
504,782,843,
504,1620,1681,
504,958,1021,
504,1081,1140,
504,1260,1320,
504,1260,1320,
504,1321,1381,
504,1560,1620,103
504,1620,1681,
504,1620,1681,
